y      175  173  174  s_noinst.p    Movimientos Stock  Movimiento Stock Lotes  Movimiento Stock Lotes
y      174  175  177  s_noinst.p    Envios  Envios  Envios
y      177  174  178  s_noinst.p    Graficos Dist. Stock  Graficos Dist. Stock  Graficos Dist. Stock
y      178  177  179  s_noinst.p    Cta. Lotes Rel  Cta. Lotes Rel  Cta. Lotes Rel
y      179  178  105  s_noinst.p    Modif. Lote Deposito  Modif. Lote Deposito  Modif. Lote Deposito
y      105  179  106  s_noinst.p    Facturas Provee Exte  Facturas Proveedores Externos  Facturas Proveedores Externos
y      106  105  170  s_noinst.p    Calculo Gastos Relea  Calculo Gastos Release  Calculo Gastos Release
y    026  028  016  190  p  Cascara  Sistema de Cascara  Sistema de Cascara
y      190  192  191  s_noinst.p  a  Produccion Cascara  Produccion Cascara  Produccion Cascara
y      191  190  192  s_noinst.p  a  Lotes Cascara  Lotes Cascara  Lotes Cascara
y      192  191  193  s_noinst.p  a  Asoc. Lotes a OEs  Asociar Lotes Cascara a OEs  Asociar Lotes Cascara a OEs
y      193  192  194  s_noinst.p  a  Ctrl. Calidad Casc.  Ctrl Calidad Lotes Cascara  Ctrl Calidad Lotes Cascara
y      194  193  196  s_noinst.p  a  Reprocesos Cascara  Reprocesos Cascara  Reprocesos Cascara
y      196  194  195  s_noinst.p  a  Trazabilidad Lotes  Trazabilidad de Lotes  Trazabilidad de Lotes
y      195  194  197  s_noinst.p  a  Reprocesos Produc.  Reprocesos Producciones Cascara  Reprocesos Producciones Cascara
y      197  194  190  s_noinst.p  a  Recepcion MTuc  Recepcion Devolucion MTuc  Recepcion Devolucion MTuc
y    016  026  017  s_noinst.p  j  Lotes de Jugos  Lotes de Jugos  Lotes de Jugos
y    017  016  018  s_noinst.p  a  Lotes de Aceites  Lotes de Aceites  Lotes de Aceites
y    018  017  019  s_noinst.p  a  Produccion Aceite  Produccion Aceite  Produccion Aceite
y    019  018  020  s_noinst.p  p  Produccion Jugos  Produccion Jugos  Produccion Jugos
y    020  019  014  s_noinst.p  t  Productos Terceros  Productos Terceros  Productos Terceros
y    014  020  021  s_noinst.p  c  Cargas  Cargas  Cargas
y    021  014  022  s_noinst.p  t  Foldeado  Foldeado  Foldeado
y    022  021  023  s_noinst.p  t  Protocolos  Protocolos  Protocolos
y    023  022  024  s_noinst.p  t  Muestras BUE  Muestras BUE  Muestras BUE
y    024  023  176  s_noinst.p  t  Muestras TUC  Muestras TUC  Muestras TUC
y    176  024  011  s_noinst.p    Competencia  Registro Actividad Competencia  Registro Actividad Competencia
y  003  001  005  031  m  Mantenimientos  Diversos mantenimientos  Diversos mantenimientos
y    031  039  032  290  l  Varios  Varios  Varios
y      290  293  291  s_noinst.p  p  Listas de Correo  Listas de Correo  Listas de Correo
y      291  290  292  s_noinst.p  p  Usuarios de Listas  Usuarios de Listas  Usuarios de Listas
y      292  291  293  s_noinst.p  p  MoviTambAceite  MoviTambAceite  MoviTambAceite
y      293  292  290  s_noinst.p  p  MoviTambAceiteStok  MoviTambAceiteStok  MoviTambAceiteStok
y    032  031  033  241  c  Control Calidad  Control Calidad  Control Calidad
y      241  241  241  s_noinst.p  q  Quimicos Ctrol Calid  Quimicos Ctrol Calid  Quimicos Ctrol Calid
y    033  032  034  250  u  Comercial  Comercial  Comercial
y      250  254  251  s_noinst.p  c  Clausulas  Clausulas  Clausulas
y      251  250  252  s_noinst.p  i  clientes  clientes  Clientes
y      252  251  253  s_noinst.p  i  Contratos Modi  Contratos Modi  Contratos Modi
y      253  252  254  s_noinst.p  n  Baja Contratos  Baja Contratos  Baja Contratos
y      254  253  250  s_noinst.p  n  Tipos Contacto Ind  Tipos Contacto Ind  Tipos Contacto Ind
y    034  033  035  260  u  Laboratorios  Laboratorios  Laboratorios
y      260  263  261  s_noinst.p  n  Estados Lotes  Estados Lotes  Estados Lotes
y      261  260  262  s_noinst.p  r  ProductosTerminados  ProductosTerminados  ProductosTerminados
y      262  261  263  135  l  Calidades - Origenes  Calidades - Origenes  Calidades - Origenes
y        135  139  136  s_noinst.p  a  Calidades  Calidades  Calidades
y        136  135  137  s_noinst.p  p  Rel.Prod.Calidades  Rel.Prod.Calidades  Rel.Prod.Calidades
y        137  136  138  s_noinst.p    Rel.Prod.Cal.Env.  Rel.Prod.Cal.Env.  Rel.Prod.Cal.Env.
y        138  137  139  s_noinst.p    Origenes MP  Origenes MP  Origenes MP
y        139  138  135  s_noinst.p    Tipos Origenes MP  Tipos Origenes MP  Tipos Origenes MP
y      263  262  260  s_noinst.p  n  Envases  Envases  Envases
y    035  034  036  270  l  Logistica  Logistica  Logistica
y      270  282  271  s_noinst.p  n  LotesJ-Estado  LotesJ-Estado  LotesJ-Estado
y      271  270  272  s_noinst.p  a  Agencias Contenedor  Agencias Contenedor  Agencias Contenedor
y      272  271  273  s_noinst.p  a  Agencias  Agencias  Agencias
y      273  272  274  s_noinst.p  p  Contenedores  Contenedores  Contenedores
y      274  273  275  s_noinst.p  p  Sucursales  Sucursales  Sucursales
y      275  274  276  s_noinst.p  p  Porc ReintegroArticu  Porc ReintegroArticu  Porc ReintegroArticu
y      276  275  277  s_noinst.p  i  Destinos  Destinos  Destinos
y      277  276  278  s_noinst.p  i  Destinos Grupos  Destinos Grupos  Destinos Grupos
y      278  277  279  s_noinst.p  a  Entry  Entry  Entry
y      279  278  280  s_noinst.p  a  Lugar Descarga  Lugar Descarga  Lugar Descarga
y      280  279  281  s_noinst.p  a  Vapores  Vapores  Vapores
y      281  280  282  s_noinst.p  p  Despachantes  Despachantes  Despachantes
y      282  281  283  s_noinst.p  p  Manejo Aduanas  Manejo Aduanas  Manejo Aduanas
y      283  282  284  s_noinst.p  p  Manejo Compañias  Manejo Compañias  Manejo Compañias
