21,50	1,08968	233,62
21,60	1,09013	234,81
21,70	1,09058	235,98
21,80	1,09103	237,17
21,90	1,09149	238,36
22,00	1,09194	239,55
22,10	1,09239	240,74
22,20	1,09284	241,93
22,30	1,09329	243,12
22,40	1,09375	244,31
22,50	1,09420	245,50
22,60	1,09465	246,69
22,70	1,09511	247,89
22,80	1,09556	249,09
22,90	1,09602	250,28
23,00	1,09647	251,48
23,10	1,09693	252,68
23,20	1,09738	253,88
23,30	1,09784	255,08
23,40	1,09829	256,28
23,50	1,09875	257,48
23,60	1,09921	258,68
23,70	1,09966	259,89
23,80	1,10012	261,09
23,90	1,10058	262,30
24,00	1,10104	263,50
24,10	1,10149	264,71
24,20	1,10195	265,92
24,30	1,10241	267,13
24,40	1,10287	268,34
24,50	1,10333	269,56
24,60	1,10370	270,76
24,70	1,10425	271,98
24,80	1,10471	273,20
24,90	1,10517	274,41
25,00	1,10564	-22,79
25,10	1,10610	-22,89
25,20	1,10616	-22,99
25,30	1,10702	-23,09
25,40	1,10748	-23,19
25,50	1,10795	-23,28
25,60	1,10841	-23,38
25,70	1,10887	-23,48
25,80	1,10934	-23,58
25,90	1,10980	-23,68
26,00	1,11027	-23,78
26,10	1,11073	-23,88
26,20	1,11120	-23,98
26,30	1,11166	-24,08
26,40	1,11213	-24,18
26,50	1,11260	-24,27
26,60	1,11306	-24,37
26,70	1,11353	-24,47
26,80	1,11400	-24,57
26,90	1,11447	-24,67
27,00	1,11493	-24,77
27,10	1,11540	-24,87
27,20	1,11587	-24,97
27,30	1,11634	-25,07
27,40	1,11681	-25,17
27,50	1,11728	-25,27
27,60	1,11775	-25,36
27,70	1,11822	-25,46
27,80	1,11869	-25,56
27,90	1,11916	-25,66
28,00	1,11963	-25,76
28,10	1,12010	-25,86
28,20	1,12058	-25,96
28,30	1,12105	-26,06
28,40	1,12152	-26,16
28,50	1,12199	-26,26
28,60	1,12247	-26,36
28,70	1,12294	-26,45
28,80	1,12341	-26,55
28,90	1,12389	-26,65
29,00	1,12436	-26,75
29,10	1,12484	-26,85
29,20	1,12532	-26,95
29,30	1,12579	-27,05
29,40	1,12627	-27,15
29,50	1,12674	-27,25
29,60	1,12722	-27,35
29,70	1,12770	-27,44
29,80	1,12817	-27,54
29,90	1,12865	-27,64
30,00	1,12193	337,78
30,10	1,12961	339,05
30,20	1,13009	340,33
30,30	1,13057	341,60
30,40	1,13105	342,87
30,50	1,13153	344,15
30,60	1,13201	345,42
30,70	1,13241	346,69
30,80	1,13279	347,97
30,90	1,13345	349,25
31,00	1,13394	350,53
31,10	1,13442	351,81
31,20	1,13490	353,09
31,30	1,13538	354,37
31,40	1,13587	355,65
31,50	1,13635	356,94
31,60	1,13683	358,23
31,70	1,13732	359,51
31,80	1,13780	360,80
31,90	1,13829	362,09
32,00	1,13877	363,38
32,10	1,13926	364,77
32,20	1,13974	365,96
32,30	1,14023	367,25
32,40	1,14072	368,55
32,50	1,14120	369,84
32,60	1,14169	371,14
32,70	1,14218	372,44
32,80	1,14267	373,74
32,90	1,14316	375,04
33,00	1,14364	376,34
33,10	1,14413	377,64
33,20	1,14462	378,94
33,30	1,14511	380,24
33,40	1,14560	381,55
33,50	1,14609	382,86
33,60	1,14658	384,16
33,70	1,14708	385,48
33,80	1,14757	386,78
33,90	1,14806	388,09
34,00	1,14855	389,41
34,10	1,14904	390,72
34,20	1,14954	392,01
34,30	1,15003	393,35
34,40	1,15052	394,66
34,50	1,15102	395,98
34,60	1,15151	397,30
34,70	1,15201	398,62
34,80	1,15250	399,94
34,90	1,15300	401,27
35,00	1,15356	402,59
35,10	1,15399	403,91
35,20	1,15449	405,23
35,30	1,15498	406,56
35,40	1,15548	407,89
35,50	1,15598	409,22
35,60	1,15648	410,55
35,70	1,15698	411,88
35,80	1,15747	413,20
35,90	1,15797	414,54
36,00	1,15847	415,87
36,10	1,15897	417,21
36,20	1,15947	418,55
36,30	1,15997	419,88
36,40	1,16047	421,22
36,50	1,16098	422,56
36,60	1,16148	423,90
36,70	1,16198	425,24
36,80	1,16248	426,58
36,90	1,16298	427,93
37,00	1,16349	429,28
37,10	1,16399	430,62
37,20	1,16449	431,97
37,30	1,16500	435,32
37,40	1,16550	434,67
37,50	1,16601	436,02
37,60	1,16652	437,37
37,70	1,16702	438,72
37,80	1,16752	440,07
37,90	1,16803	441,43
38,00	1,16853	442,79
38,10	1,16904	444,15
38,20	1,16955	445,51
38,30	1,17006	446,87
38,40	1,17056	448,23
38,50	1,17107	449,59
38,60	1,17158	450,95
38,70	1,17209	452,32
38,80	1,17269	453,69
38,90	1,17311	455,95
39,00	1,17362	456,42
39,10	1,17413	457,79
39,20	1,17464	459,16
39,30	1,17515	460,53
39,40	1,17566	461,90
39,50	1,17618	463,28
39,60	1,17669	464,66
39,70	1,17720	466,03
39,80	1,17772	467,41
39,90	1,17823	468,79
40,00	1,17874	470,17
40,10	1,17926	471,55
40,20	1,17977	472,93
40,30	1,18029	474,31
40,40	1,18080	475,69
40,50	1,18132	477,08
40,60	1,18183	478,47
40,70	1,18235	479,86
40,80	1,18287	481,25
40,90	1,18339	482,65
41,00	1,18390	484,03
41,10	1,18442	485,43
41,20	1,18494	486,82
41,30	1,18546	488,22
41,40	1,18598	489,62
41,50	1,18650	491,01
41,60	1,18702	492,41
41,70	1,18754	493,81
41,80	1,18806	495,21
41,90	1,18858	496,61
42,00	1,18910	498,01
42,10	1,18962	499,42
42,20	1,19014	500,82
42,30	1,19062	502,23
42,40	1,19119	503,63
42,50	1,19171	505,05
42,60	1,19224	506,46
42,70	1,19276	507,87
42,80	1,19329	509,29
42,90	1,19387	510,71
43,00	1,19434	512,12
43,10	1,19486	513,54
43,20	1,19539	514,95
43,30	1,19591	516,37
43,40	1,19644	517,79
43,50	1,19697	519,21
43,60	1,19749	520,64
43,70	1,19802	522,06
43,80	1,19855	523,48
